Veilstone Harbor,,Zigzagoon,Tall Grass,1,10%,0%
Veilstone Harbor,,Pidove,Tall Grass,1,10%,0%
Veilstone Harbor,,Timburr,Tall Grass,1,10%,0%
Veilstone Harbor,,Wingull,Shadow,1,10%,0%
==============,==============,==============,==============,==============,==============,==============
Veilstone City,,Grimer,Surf,1,10%,0%
Veilstone City,,Trubbish,Interaction,1,10%,0%
==============,==============,==============,==============,==============,==============,==============
Pristine Lounge,,Turtwig,Special,--,--,--
Pristine Lounge,,Chimchar,Special,--,--,--
Pristine Lounge,,Piplup,Special,--,--,--
==============,==============,==============,==============,==============,==============,==============
Veilstain,,Koffing,Walking,1,10%,0%
Veilstain,,Venipede,Walking,1,10%,0%
Veilstain,,Woobat,Walking,1,10%,0%
Veilstain,,Shellos,Double-Exclusive,1,10%,0%
Veilstain,,Grimer,Surf,1,10%,0%
==============,==============,==============,==============,==============,==============,==============
Galaxias Labs,Red Chain Engine,Klink,Special,1,10%,0%
==============,==============,==============,==============,==============,==============,==============
Windrose Cliffs,,Kricketot,Tall Grass,1,10%,0%
Windrose Cliffs,,Pidove,Tall Grass,1,10%,0%
Windrose Cliffs,,Hoothoot,Tall Grass,1,10%,0%
Windrose Cliffs,,Budew,Tall Grass,1,10%,0%
Windrose Cliffs,,Emolga,Double-Exclusive,1,10%,0%
Windrose Cliffs,,Emolga,Shadow,1,10%,0%
Windrose Cliffs,,Wingull,Surf,1,10%,0%
Windrose Cliffs,,Pelipper,Surf,1,10%,0%
Windrose Cliffs,,Magikarp,Surf,1,10%,0%
Windrose Cliffs,,Gyarados,Surf,1,10%,0%
Windrose Cliffs,,Finneon,Surf,1,10%,0%
Windrose Cliffs,,Frillish,Water Ripple,1,10%,0%
Windrose Cliffs,,Finneon,Gift,1,10%,0%
==============,==============,==============,==============,==============,==============,==============
Route 215,,Wurmple,Tall Grass,1,10%,0%
Route 215,,Kricketot,Tall Grass,1,10%,0%
Route 215,,Deerling,Tall Grass,1,10%,0%
Route 215,,Pidove,Tall Grass,1,10%,0%
Route 215,,Hoothoot,Tall Grass,1,10%,0%
Route 215,,Cascoon,Double-Exclusive,1,10%,0%
Route 215,,Silcoon,Double-Exclusive,1,10%,0%
==============,==============,==============,==============,==============,==============,==============
Route 210,South Trail,Wurmple,Tall Grass,1,10%,0%
Route 210,South Trail,Psyduck,Tall Grass,1,10%,0%
Route 210,South Trail,Starly,Tall Grass,1,10%,0%
Route 210,South Trail,Hoothoot,Tall Grass,1,10%,0%
Route 210,South Trail,Farfetch'd,Double-Exclusive,1,10%,0%
Route 210,Hidden Trail,Kricketot,Tall Grass,1,10%,0%
Route 210,Hidden Trail,Deerling,Tall Grass,1,10%,0%
Route 210,Hidden Trail,Pidove,Tall Grass,1,10%,0%
Route 210,Hidden Trail,Hoothoot,Tall Grass,1,10%,0%
Route 210,Hidden Trail,Audino,Double-Exclusive,1,10%,0%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
